iter	MultiClass
0	1.789995544
1	1.788218093
2	1.786564143
3	1.784873534
4	1.783178884
5	1.78154424
6	1.779962224
7	1.778422952
8	1.776795595
9	1.775076419
10	1.773401795
11	1.771892928
12	1.77032256
13	1.76864645
14	1.767206379
15	1.765722655
16	1.764192583
17	1.762736321
18	1.761179377
19	1.759612296
20	1.758094014
21	1.756536202
22	1.754987134
23	1.753528807
24	1.752006434
25	1.750590144
26	1.749001285
27	1.747513458
28	1.745964678
29	1.744407868
30	1.742863256
31	1.74137835
32	1.739940759
33	1.738504425
34	1.736989927
35	1.73554477
36	1.734124693
37	1.732689353
38	1.731178788
39	1.729703277
40	1.728301288
41	1.72683417
42	1.725486591
43	1.724071918
44	1.722590284
45	1.721154457
46	1.719782152
47	1.718252022
48	1.716793499
49	1.715424327
